Nama File,Hue,Saturation,Value,
Apel Golden Delicious.jpg,20.03100586,206.2901917,200.7465668,
Empire Apple.jpg,38.20858765,163.8552094,159.8904724,
Apel Red Delicious.jpg,59.89610291,155.7950287,123.942688,
Apel Granny Smith.jpg,36.56790161,185.6987915,144.3755646,
Apel Fuji.jpg,9.978027344,144.6422119,221.1935577,
Apel Pink Lady.jpg,42.69207764,161.2466583,159.7718353,
Apel Jeruk Cox.jpg,22.90068054,162.2134399,153.0145111,
Apel Honeycrisp.jpg,29.65618896,173.542511,138.161377,
Apel Gala.jpg,59.94683838,168.4814453,185.221817,
Apel McIntosh.jpg,40.78709412,193.7946777,140.6799011,
,,,,
,,,,
,,,,
